,Station location,BiciMAD station,dock_bikes,Place of interest,Place address,Type of place,distance
405174,Calle Caramuel nº 51,Caramuel,14,Centenario del Hospital Central de la Defensa,GLORIETA EJERCITO 1,Monumentos de la ciudad de Madrid,3020.031894685903
385463,Calle Antonio López nº 129,Glorieta de Cádiz,7,Centro Básico de Servicios Sociales y 3ª Edad,C Villalonso 12,Monumentos de la ciudad de Madrid,4487.796537637032
389049,Calle Gutierre de Cetina nº 77,Gutierre de Cetina,18,Centro Cultural Antonio Machado,CALLE SAN ROMAN DEL VALLE 8,Monumentos de la ciudad de Madrid,2391.189670234746
374714,Calle Azucenas nº 1,Remonta,2,Centro Cultural Remonta,PLAZA REMONTA 12,Monumentos de la ciudad de Madrid,54.04461981047174
424891,Calle Sodio nº 1B,Embajadores 191,6,Centro Cultural San Cristóbal de los Ángeles,Pza Pinazo 9,Monumentos de la ciudad de Madrid,5212.396780858817
387260,Calle Condesa de Venadito nº 2,Condesa de Venadito,13,Centro Cultural San Juan Bautista,C San Nemesio 4,Monumentos de la ciudad de Madrid,1008.5281022809144
385464,Calle Antonio López nº 129,Glorieta de Cádiz,7,Centro Cultural Ágata,Pza Ágata 2,Monumentos de la ciudad de Madrid,4828.990317408836
389055,Calle Gutierre de Cetina nº 77,Gutierre de Cetina,18,Centro Integrado Teresa de Calcuta,Pza Navío ,Monumentos de la ciudad de Madrid,6601.918015251174
389056,Calle Gutierre de Cetina nº 77,Gutierre de Cetina,18,Centro Juvenil Miguel de Cervantes,CALLE FENELON 6,Monumentos de la ciudad de Madrid,3444.7139446287874
66497,Plaza de San Francisco nº 5,Plaza de San Francisco,13,Centro Tercera Edad,C Jerte ,Monumentos de la ciudad de Madrid,105.56117626960727
415933,Calle Carlota O'Neill nº 32,Carlota O’Neill,1,Centro de Educación Especial Reina Sofía,Ctra Canillas 51,Monumentos de la ciudad de Madrid,2310.160614504921
389054,Calle Gutierre de Cetina nº 77,Gutierre de Cetina,18,Centro de Servicios Sociales Luis Vives,AVENIDA INSTITUCION LIBRE DE ENSE&amp;Ntilde;ANZA 160,Monumentos de la ciudad de Madrid,1525.0372140663635
166850,Paseo de Recoletos nº 20,Biblioteca Nacional,2,Cervantes,Pº Recoletos 20,Monumentos de la ciudad de Madrid,80.39423771589223
204483,Paseo del Pintor Rosales frente al nº 38,Pintor Rosales,12,Chamberí a sus hijos,C Francisco y Jacinto Alcántara 1,Monumentos de la ciudad de Madrid,489.759004115422
170436,Calle Alcalá nº 111,Castelló,16,Chintila,PARQUE RETIRO ,Monumentos de la ciudad de Madrid,120.89348012330754
131013,Avenida de Menéndez Pelayo con calle Poeta Esteban Villegas,Menéndez Pelayo,3,Chueca,Pº Uruguay ,Monumentos de la ciudad de Madrid,421.2676096969551
405190,Calle Caramuel nº 51,Caramuel,14,Chulín,COMPLEJO ZOOLOGICO DE LA CASA CAMPO ,Monumentos de la ciudad de Madrid,3673.6864570459534
165063,Calle Goya nº 1,Plaza de Colón,4,Cilindros en el espacio,PASEO CASTELLANA 1,Monumentos de la ciudad de Madrid,156.2783815527671
415944,Calle Carlota O'Neill nº 32,Carlota O’Neill,1,Cinco obeliscos Centro Comercial Arturo Soria Plaza,C Arturo Soria 126,Monumentos de la ciudad de Madrid,706.3895691005516
50377,Calle Alcalá nº 27,Sevilla,17,Cinematógrafo,CARRERA SAN JERONIMO 32,Monumentos de la ciudad de Madrid,196.40389166797033
385482,Calle Antonio López nº 129,Glorieta de Cádiz,7,Ciudad Sanitaria 12 Octubre,Avda Córdoba ,Monumentos de la ciudad de Madrid,1437.8168205610177
448203,Paseo de la Castellana nº 298,Manuel Caldeiro,16,Ciudad Sanitaria La Paz,Pº Castellana 261,Monumentos de la ciudad de Madrid,147.0742728195611
